run_id,canonical_run_id,display_name,backbone_combination,fusion_method,candidate_name,macro_f1_gain,backbone,label,precision,recall,f1,support,canonical_precision,canonical_recall,canonical_f1,f1_gain,precision_gain,recall_gain
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,vasc,0.8888888888888888,0.7619047619047619,0.8205128205128205,21,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.031039136302294157,0.006535947712418277,0.04761904761904756
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,nv,0.8679593721144968,0.9362549800796812,0.9008145663632008,1004,0.9262472885032538,0.850597609561753,0.8868120456905504,0.014002520672650398,-0.058287916388756966,0.08565737051792821
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,mel,0.608,0.4550898203592814,0.5205479452054794,167,0.4504504504504504,0.5988023952095808,0.5141388174807198,0.006409127724759656,0.15754954954954958,-0.14371257485029937
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,df,0.8461538461538461,0.55,0.6666666666666666,20,0.5185185185185185,0.7,0.5957446808510638,0.07092198581560283,0.32763532763532766,-0.1499999999999999
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,bkl,0.6397058823529411,0.5209580838323353,0.5742574257425742,167,0.5833333333333334,0.5868263473053892,0.5850746268656717,-0.010817201123097475,0.056372549019607754,-0.06586826347305386
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,bcc,0.71875,0.647887323943662,0.6814814814814815,71,0.611764705882353,0.7323943661971831,0.6666666666666666,0.014814814814814836,0.10698529411764701,-0.08450704225352113
20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,20260529_173629_finetuned_r50_none_mlp_s42,r50,resnet50,none,nocw_adamw_base,0.026583665616119134,resnet50,akiec,0.5714285714285714,0.6923076923076923,0.6260869565217392,52,0.5245901639344263,0.6153846153846154,0.5663716814159292,0.059715275105809984,0.04683840749414514,0.07692307692307687
20260531_213108_finetuned_effb0_none_mlp_nocw_adamw_base_s42,20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,nocw_adamw_base,0.01701261453576397,efficientnet_b0,vasc,0.8421052631578947,0.7619047619047619,0.8,21,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.010526315789473717,-0.04024767801857587,0.04761904761904756
20260531_213108_finetuned_effb0_none_mlp_nocw_adamw_base_s42,20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,nocw_adamw_base,0.01701261453576397,efficientnet_b0,nv,0.8684701492537313,0.9272908366533864,0.896917148362235,1004,0.9192139737991266,0.8386454183266933,0.8770833333333333,0.01983381502890169,-0.05074382454539528,0.08864541832669315
20260531_213108_finetuned_effb0_none_mlp_nocw_adamw_base_s42,20260529_173652_finetuned_effb0_none_mlp_s42,effb0,efficientnet_b0,none,nocw_adamw_base,0.01701261453576397,efficientnet_b0,mel,0.5769230769230769,0.2694610778443114,0.3673469387755102,167,0.4378109452736318,0.5269461077844312,0.4782608695652174,-0.11091393078970718,0.13911213164944508,-0.2574850299401198
