candidate_name,family,fusion_method,normalization,loss,split,label,precision,recall,f1,support,weighted_baseline_f1,f1_gain_vs_weighted_baseline
weighted_standardize_p512_low_lr,weighted_normalized,weighted,standardize_per_backbone,weighted_ce,val,vasc,0.75,0.6818181818181818,0.7142857142857143,22,0.7906976744186046,-0.07641196013289031
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,akiec,0.5,0.6792452830188679,0.576,53,0.5333333333333333,0.04266666666666663
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,bcc,0.6593406593406593,0.7317073170731707,0.6936416184971098,82,0.7294117647058823,-0.0357701462087725
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,bkl,0.6506024096385542,0.675,0.6625766871165644,160,0.640625,0.021951687116564367
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,df,0.631578947368421,0.5,0.5581395348837209,24,0.5581395348837209,0.0
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,nv,0.9267015706806284,0.869351669941061,0.8971109984794728,1018,0.8990825688073395,-0.0019715703278666563
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,mel,0.5660377358490566,0.6936416184971098,0.6233766233766234,173,0.6106442577030813,0.012732365673542079
weighted_l2_p512_low_lr,weighted_normalized,weighted,l2_per_backbone,weighted_ce,val,vasc,0.8235294117647058,0.6363636363636364,0.717948717948718,22,0.7906976744186046,-0.07274895646988666
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,akiec,0.4556962025316455,0.6792452830188679,0.5454545454545454,53,0.5333333333333333,0.012121212121212088
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,bcc,0.6363636363636364,0.7682926829268293,0.6961325966850829,82,0.7294117647058823,-0.03327916802079944
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,bkl,0.5977011494252874,0.65,0.6227544910179641,160,0.640625,-0.017870508982035904
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,df,0.6666666666666666,0.4166666666666667,0.5128205128205128,24,0.5581395348837209,-0.04531902206320815
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,nv,0.9336188436830836,0.8565815324165029,0.8934426229508197,1018,0.8990825688073395,-0.005639945856519835
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,mel,0.5471698113207547,0.6705202312138728,0.6025974025974026,173,0.6106442577030813,-0.008046855105678707
weighted_standardize_p1024_low_lr,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,vasc,0.8421052631578947,0.7272727272727273,0.7804878048780488,22,0.7906976744186046,-0.010209869540555805
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,akiec,0.4923076923076923,0.6037735849056604,0.5423728813559322,53,0.5333333333333333,0.009039548022598876
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,bcc,0.7283950617283951,0.7195121951219512,0.7239263803680982,82,0.7294117647058823,-0.005485384337784116
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,bkl,0.6601307189542484,0.63125,0.645367412140575,160,0.640625,0.004742412140575025
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,df,0.5217391304347826,0.5,0.5106382978723404,24,0.5581395348837209,-0.04750123701138054
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,nv,0.9151329243353784,0.8791748526522594,0.8967935871743486,1018,0.8990825688073395,-0.0022889816329908497
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,mel,0.5492957746478874,0.6763005780346821,0.6062176165803109,173,0.6106442577030813,-0.004426641122770358
weighted_standardize_p1024_reg,weighted_projection,weighted,standardize_per_backbone,weighted_ce,val,vasc,0.7894736842105263,0.6818181818181818,0.7317073170731707,22,0.7906976744186046,-0.0589903573454339
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,akiec,0.3814432989690721,0.6981132075471698,0.4933333333333333,53,0.5333333333333333,-0.040000000000000036
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,bcc,0.63,0.7682926829268293,0.6923076923076923,82,0.7294117647058823,-0.037104072398190024
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,bkl,0.5771428571428572,0.63125,0.6029850746268657,160,0.640625,-0.03763992537313432
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,df,0.6875,0.4583333333333333,0.55,24,0.5581395348837209,-0.008139534883720878
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,nv,0.9320594479830148,0.862475442043222,0.8959183673469387,1018,0.8990825688073395,-0.0031642014604007507
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,mel,0.5760869565217391,0.6127167630057804,0.5938375350140056,173,0.6106442577030813,-0.01680672268907568
weighted_l2_p1024_low_lr,weighted_projection,weighted,l2_per_backbone,weighted_ce,val,vasc,0.7777777777777778,0.6363636363636364,0.7,22,0.7906976744186046,-0.09069767441860466
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,akiec,0.5,0.5849056603773585,0.5391304347826087,53,0.5333333333333333,0.005797101449275366
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,bcc,0.648936170212766,0.7439024390243902,0.6931818181818182,82,0.7294117647058823,-0.03622994652406408
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,bkl,0.6101694915254238,0.675,0.6409495548961425,160,0.640625,0.00032455489614247046
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,df,0.7692307692307693,0.4166666666666667,0.5405405405405406,24,0.5581395348837209,-0.017598994343180352
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,nv,0.9356223175965666,0.8565815324165029,0.8943589743589744,1018,0.8990825688073395,-0.0047235944483651204
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,mel,0.5311203319502075,0.7398843930635838,0.6183574879227053,173,0.6106442577030813,0.007713230219624001
perclass_standardize_p512,per_class_weighted,per_class_weighted,standardize_per_backbone,weighted_ce,val,vasc,0.9230769230769232,0.5454545454545454,0.6857142857142857,22,0.7906976744186046,-0.10498338870431889
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,akiec,0.4505494505494505,0.7735849056603774,0.5694444444444444,53,0.5333333333333333,0.036111111111111094
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,bcc,0.6941176470588235,0.7195121951219512,0.7065868263473054,82,0.7294117647058823,-0.022824938358576907
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,bkl,0.6424242424242425,0.6625,0.6523076923076923,160,0.640625,0.011682692307692255
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,df,0.6190476190476191,0.5416666666666666,0.5777777777777777,24,0.5581395348837209,0.0196382428940568
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,nv,0.9240121580547112,0.8958742632612967,0.909725685785536,1018,0.8990825688073395,0.010643116978196532
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,mel,0.6375,0.5895953757225434,0.6126126126126126,173,0.6106442577030813,0.001968354909531289
perclass_l2_p512,per_class_weighted,per_class_weighted,l2_per_backbone,weighted_ce,val,vasc,0.7391304347826086,0.7727272727272727,0.7555555555555555,22,0.7906976744186046,-0.03514211886304908
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,akiec,0.4470588235294118,0.7169811320754716,0.5507246376811594,53,0.5333333333333333,0.017391304347826098
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,bcc,0.7088607594936709,0.6829268292682927,0.6956521739130435,82,0.7294117647058823,-0.033759590792838856
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,bkl,0.6457142857142857,0.70625,0.6746268656716418,160,0.640625,0.03400186567164176
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,df,0.5882352941176471,0.4166666666666667,0.4878048780487805,24,0.5581395348837209,-0.07033465683494045
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,nv,0.9377013963480128,0.8575638506876228,0.8958440225756799,1018,0.8990825688073395,-0.0032385462316596447
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,mel,0.5240174672489083,0.6936416184971098,0.5970149253731343,173,0.6106442577030813,-0.013629332329947008
weighted_standardize_p512_focal,loss_variant,weighted,standardize_per_backbone,focal,val,vasc,0.8125,0.5909090909090909,0.6842105263157895,22,0.7906976744186046,-0.10648714810281512
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,akiec,0.4383561643835616,0.6037735849056604,0.5079365079365079,53,0.5333333333333333,-0.025396825396825418
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,bcc,0.6436781609195402,0.6829268292682927,0.6627218934911243,82,0.7294117647058823,-0.066689871214758
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,bkl,0.5773195876288659,0.7,0.632768361581921,160,0.640625,-0.007856638418079043
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,df,0.5454545454545454,0.5,0.5217391304347826,24,0.5581395348837209,-0.03640040444893833
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,nv,0.939799331103679,0.8280943025540275,0.8804177545691906,1018,0.8990825688073395,-0.01866481423814892
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,mel,0.5104602510460251,0.7052023121387283,0.5922330097087378,173,0.6106442577030813,-0.01841124799434346
weighted_standardize_p512_smooth,loss_variant,weighted,standardize_per_backbone,label_smoothing,val,vasc,0.75,0.6818181818181818,0.7142857142857143,22,0.7906976744186046,-0.07641196013289031
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,akiec,0.5365853658536586,0.4150943396226415,0.4680851063829787,53,0.5333333333333333,-0.06524822695035465
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,bcc,0.7466666666666667,0.6829268292682927,0.7133757961783439,82,0.7294117647058823,-0.016035968527538413
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,bkl,0.6457142857142857,0.70625,0.6746268656716418,160,0.640625,0.03400186567164176
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,df,0.6666666666666666,0.5,0.5714285714285714,24,0.5581395348837209,0.013289036544850474
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,nv,0.911,0.8948919449901768,0.9028741328047571,1018,0.8990825688073395,0.0037915639974176463
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,mel,0.5436893203883495,0.6473988439306358,0.5910290237467019,173,0.6106442577030813,-0.01961523395637943
perclass_standardize_p512_focal,loss_variant,per_class_weighted,standardize_per_backbone,focal,val,vasc,0.7647058823529411,0.5909090909090909,0.6666666666666666,22,0.7906976744186046,-0.12403100775193798
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,akiec,0.6,0.75,0.6666666666666666,52,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,bcc,0.6666666666666666,0.704225352112676,0.684931506849315,71,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,bkl,0.6075949367088608,0.5748502994011976,0.5907692307692308,167,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,df,0.6842105263157895,0.65,0.6666666666666666,20,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,nv,0.9295774647887324,0.8545816733067729,0.8905033731188375,1004,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,mel,0.47107438016528924,0.6826347305389222,0.5574572127139364,167,,
concat_standardize_base,concat_normalized,concat,standardize_per_backbone,weighted_ce,test,vasc,0.8,0.7619047619047619,0.7804878048780488,21,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,akiec,0.45161290322580644,0.8076923076923077,0.5793103448275863,52,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,bcc,0.6341463414634146,0.7323943661971831,0.6797385620915033,71,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,bkl,0.6060606060606061,0.5988023952095808,0.6024096385542169,167,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,df,0.625,0.75,0.6818181818181818,20,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,nv,0.9295010845986985,0.853585657370518,0.8899273104880582,1004,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,mel,0.5076142131979695,0.5988023952095808,0.5494505494505495,167,,
concat_l2_base,concat_normalized,concat,l2_per_backbone,weighted_ce,test,vasc,0.8421052631578947,0.7619047619047619,0.8,21,,
