run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,search_stage,candidate_name,candidate_profile,runtime_seconds,planned_index,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260531_210653_finetuned_r50-mnv2_concat_mlp_cw_adamw_wide_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.4,"[1024, 512]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_wide,screen,cw_adamw_wide,cw_adamw_wide,27.68255425011739,30,0.6524531034573272,6,0.7929427430093209,0.7009701448450893,0.7037606205635999,0.6958669250700031,0.7997299734894571,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_211206_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_low_lr_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.0003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_low_lr,screen,cw_adamw_low_lr,cw_adamw_low_lr,28.22484629205428,43,0.65235906269809,6,0.7942743009320905,0.6833153312926757,0.7269163443210541,0.7005299869918542,0.802641303404114,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_211646_finetuned_r50-effb0_weighted_mlp_w_nocw_adamw_base_p256_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,256,3328.0,256.0,256.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p256,screen,w_nocw_adamw_base_p256,w_nocw_adamw_base,15.675444624852389,52,0.6520893711301217,3,0.8095872170439414,0.7213461948878112,0.6704509067235154,0.6882409571694538,0.8020384816427745,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_205924_finetuned_r50_none_mlp_cw_adamw_small_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,[256],sprint4c_finetuned_mlpfusion_screen,cw_adamw_small,screen,cw_adamw_small,cw_adamw_small,12.686496624955907,5,0.6518556715864723,4,0.7996005326231691,0.668637841761574,0.702933774145838,0.6841301300938277,0.8005187016724077,single,r50,r50
20260531_210859_finetuned_r50-effb0_concat_mlp_cw_adamw_high_lr_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.003,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_high_lr,screen,cw_adamw_high_lr,cw_adamw_high_lr,29.856292416108772,36,0.6514149173181721,11,0.7922769640479361,0.6566081238409325,0.6882450639766752,0.665728816297671,0.7942952501592881,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_211242_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_small_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,[256],sprint4c_finetuned_mlpfusion_screen,cw_adamw_small,screen,cw_adamw_small,cw_adamw_small,15.76038512494415,45,0.6508887373692395,4,0.8135818908122503,0.7168915055066869,0.7057436145386589,0.7065958607447332,0.8131598384179348,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_212332_finetuned_r50-mnv2-effb0_weighted_mlp_w_nocw_adamw_base_p256_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,weighted,42,256,4608.0,256.0,256.0,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_nocw_adamw_base_p256,screen,w_nocw_adamw_base_p256,w_nocw_adamw_base,18.65632304106839,64,0.6508825393752862,2,0.8142476697736352,0.7397861646950863,0.6562956209575986,0.6860246377672906,0.8065672208513498,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
20260531_211317_finetuned_r50-mnv2-effb0_concat_mlp_cw_adamw_wide_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.4,"[1024, 512]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_wide,screen,cw_adamw_wide,cw_adamw_wide,34.907048540888354,46,0.6506760251400955,3,0.7796271637816246,0.6439012163571467,0.7236232476046289,0.6710040798417929,0.7888746500081786,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_211003_finetuned_r50-effb0_concat_mlp_cw_adamw_wide_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.4,"[1024, 512]",sprint4c_finetuned_mlpfusion_screen,cw_adamw_wide,screen,cw_adamw_wide,cw_adamw_wide,52.323452417040244,38,0.6488732665738388,11,0.8042609853528628,0.7035629256347725,0.6908257607292886,0.6888103072115667,0.8053804060602114,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_210531_finetuned_r50-mnv2_concat_mlp_nocw_adamw_base_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned,concat,42,3328,3328.0,3328.0,,False,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,nocw_adamw_base,screen,nocw_adamw_base,nocw_adamw_base,24.424673415953293,26,0.6487909807766484,8,0.8015978695073236,0.7252937668944972,0.6114330597513831,0.6571944109004308,0.7969674081309626,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_211527_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p512_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",sprint4c_finetuned_mlpfusion_screen,w_cw_adamw_base_p512,screen,w_cw_adamw_base_p512,w_cw_adamw_base,31.096878165844828,50,0.6487604582923251,6,0.7909454061251664,0.6731679793205714,0.6926659421888521,0.6800382959567317,0.7980383437055953,pairwise,r50+effb0 weighted,r50+effb0 weighted
