model_key,display_name,run_id,split,policy,label,precision,recall,f1,support,stage,identity_precision,identity_recall,identity_f1,identity_support,f1_gain,precision_gain,recall_gain
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,df,0.8461538461538461,0.4583333333333333,0.5945945945945946,24,validation,0.7857142857142857,0.4583333333333333,0.5789473684210527,24,0.015647226173541973,0.06043956043956045,0.0
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,nv,0.9236180904522612,0.9027504911591356,0.9130650769995032,1018,validation,0.9151696606786428,0.900785854616896,0.907920792079208,1018,0.005144284920295283,0.008448429773618371,0.0019646365422396617
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,mel,0.5968586387434555,0.6589595375722543,0.6263736263736264,173,validation,0.592391304347826,0.630057803468208,0.6106442577030813,173,0.015729368670545085,0.004467334395629408,0.028901734104046284
canonical_concat,Sprint 4 concat (local regenerated MLP),20260602_095314_finetuned_r50-mnv2-effb0_concat_mlp_restore_matrix_replay_s42,val,tta_rot4,vasc,1.0,0.5454545454545454,0.7058823529411765,22,validation,0.7857142857142857,0.5,0.6111111111111112,22,0.09477124183006536,0.2142857142857143,0.045454545454545414
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,akiec,0.56,0.5283018867924528,0.5436893203883495,53,validation,0.5294117647058824,0.5094339622641509,0.5192307692307693,53,0.02445855115758022,0.030588235294117694,0.018867924528301883
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,bcc,0.7560975609756098,0.7560975609756098,0.7560975609756098,82,validation,0.6966292134831461,0.7560975609756098,0.7251461988304093,82,0.030951362145200445,0.05946834749246366,0.0
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,bkl,0.5590909090909091,0.76875,0.6473684210526316,160,validation,0.5491071428571429,0.76875,0.640625,160,0.006743421052631593,0.009983766233766178,0.0
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,df,0.7,0.5833333333333334,0.6363636363636364,24,validation,0.631578947368421,0.5,0.5581395348837209,24,0.07822410147991543,0.06842105263157894,0.08333333333333337
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,nv,0.940251572327044,0.881139489194499,0.90973630831643,1018,validation,0.935244161358811,0.8654223968565815,0.8989795918367347,1018,0.010756716479695339,0.005007410968232984,0.015717092337917515
sprint4c_weighted,Sprint 4C weighted,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,val,tta_flip4,mel,0.5967741935483871,0.6416184971098265,0.6183844011142061,173,validation,0.5913978494623656,0.6358381502890174,0.6128133704735376,173,0.005571030640668551,0.005376344086021501,0.00578034682080919
